Pixels	Line 8	Line 7	Line 6	Line 5	Line 4	Line 3	Line 2	Line 1
0.000	320.137	107.530	24.272	43.320	10.020	100.059	12.613	222.174
1.000	185.295	100.639	40.693	33.306	34.034	18.526	10.767	94.820
2.000	113.721	220.021	77.890	111.163	18.693	9.124	2.110	96.424
3.000	136.811	117.456	39.532	151.404	7.833	11.937	3.416	69.044
4.000	264.748	100.155	67.767	96.709	18.031	61.409	3.257	143.668
5.000	138.965	121.252	81.161	28.688	18.651	65.952	1.467	290.468
6.000	42.372	112.899	56.955	15.656	76.703	74.771	16.744	252.181
7.000	259.436	32.696	47.880	43.638	10.798	64.084	48.014	159.587
8.000	440.186	65.795	101.124	78.916	27.562	214.191	38.687	86.641
9.000	274.893	49.428	84.942	164.748	175.318	179.430	28.276	189.257
10.000	198.801	143.206	76.449	263.023	69.284	261.616	32.311	397.537
11.000	45.376	80.294	176.983	111.876	121.571	224.481	110.858	243.672
12.000	111.265	106.831	197.985	47.813	61.787	197.578	129.682	143.206
13.000	115.685	155.950	142.744	141.593	69.365	97.851	130.012	187.799
14.000	90.546	88.447	181.245	105.340	100.059	114.133	150.456	152.117
15.000	126.189	59.607	120.933	85.209	75.524	42.624	65.404	141.593
16.000	62.625	44.599	160.197	100.639	157.279	32.311	42.939	152.713
17.000	36.381	189.390	241.868	23.191	229.132	50.795	38.867	71.470
18.000	67.846	273.455	106.631	12.854	143.437	36.848	64.316	128.586
19.000	122.851	286.044	57.247	60.730	244.426	31.819	44.599	234.274
20.000	236.495	127.276	166.113	44.793	83.613	65.717	24.894	371.055
21.000	96.140	70.657	130.232	32.421	24.510	111.061	12.681	352.335
22.000	51.001	321.693	118.400	48.081	99.096	154.028	4.186	241.118
23.000	217.025	351.430	158.978	27.310	63.930	156.795	2.490	200.164
24.000	368.827	301.760	94.632	25.768	365.499	51.832	9.183	271.861
25.000	10.142	264.120	30.740	23.144	189.788	16.625	26.608	377.027
26.000	55.940	91.006	16.195	36.091	131.779	3.838	60.956	270.748
27.000	265.376	194.605	13.343	117.666	290.139	5.568	120.297	183.591
28.000	247.605	225.350	18.693	257.729	181.765	8.893	58.495	171.252
29.000	100.349	192.724	35.341	169.866	159.465	52.879	24.654	159.587
30.000	108.433	182.286	97.184	141.708	187.667	128.476	46.225	183.722
31.000	53.583	173.915	182.546	284.414	382.293	115.893	29.260	249.125
32.000	35.859	164.006	147.745	287.679	103.761	18.776	68.883	235.161
33.000	81.422	382.670	124.569	252.488	241.568	9.928	138.169	249.430
34.000	44.728	395.231	117.875	293.602	41.622	11.804	62.930	170.874
35.000	229.717	146.341	47.680	135.573	29.837	6.175	65.560	110.249
36.000	190.720	248.821	23.144	102.487	44.664	3.725	91.467	204.005
37.000	279.553	222.894	73.524	194.470	47.215	8.636	201.531	274.253
38.000	417.209	31.493	113.824	158.491	370.312	39.350	174.042	277.941
39.000	361.268	70.171	26.708	85.655	190.853	57.759	59.607	174.042
40.000	223.615	167.609	6.272	182.155	190.187	48.215	60.429	110.046
41.000	252.028	147.159	21.818	218.164	207.465	31.493	153.071	89.265
42.000	157.521	82.997	39.108	113.002	223.038	27.310	164.872	138.965
43.000	469.198	154.627	30.419	43.193	160.441	6.764	98.425	103.663
44.000	137.037	52.529	47.880	19.836	211.095	22.089	38.268	128.148
45.000	231.475	46.554	245.030	17.301	117.456	7.198	19.879	104.944
46.000	366.976	144.363	237.386	34.542	75.105	18.072	107.330	81.074
47.000	244.426	50.520	147.042	222.462	141.364	89.722	130.453	94.914
48.000	250.957	47.680	102.487	370.312	246.998	29.679	82.821	9.657
49.000	219.592	136.473	55.005	169.112	288.990	34.203	47.148	3.615
50.000	110.655	150.101	133.669	93.229	218.307	15.164	31.277	17.221
51.000	88.992	142.398	71.879	71.634	98.808	31.385	43.829	89.174
52.000	138.737	65.952	5.545	134.004	65.952	47.813	55.436	103.564
53.000	165.865	46.620	14.057	221.312	55.077	212.359	158.856	63.391
54.000	176.341	88.447	54.577	104.450	66.974	38.747	149.038	70.495
55.000	67.528	68.883	89.174	18.526	97.851	14.939	42.309	127.385
56.000	138.396	41.746	75.273	6.891	119.030	12.239	76.281	139.876
57.000	164.129	18.485	76.872	28.533	347.821	31.385	77.041	79.603
58.000	270.114	62.777	85.923	74.688	133.557	50.932	41.497	138.283
59.000	365.314	119.874	49.973	95.668	11.573	21.593	25.184	204.971
60.000	64.781	128.258	179.818	106.432	35.341	3.085	23.658	28.999
61.000	79.431	90.271	209.975	107.430	97.184	22.316	20.749	33.250
62.000	22.959	129.463	89.630	69.044	216.457	113.824	46.160	36.091
63.000	24.702	208.858	53.442	31.710	157.763	105.736	33.809	91.744
64.000	148.215	213.486	36.614	29.995	336.398	81.248	81.422	142.168
65.000	529.334	258.349	60.805	19.579	280.683	50.932	111.061	72.864
66.000	110.350	164.872	77.550	36.498	171.758	86.730	85.031	53.442
67.000	158.734	98.520	60.580	249.430	115.581	134.227	79.087	101.804
68.000	82.645	14.385	98.329	195.683	214.333	228.840	50.041	158.127
69.000	5.013	6.992	121.039	41.559	171.000	210.675	21.773	136.586
70.000	102.292	11.344	193.395	143.206	243.823	283.764	52.809	173.406
71.000	320.310	90.455	289.482	221.312	110.858	196.088	105.836	181.115
72.000	453.034	131.336	121.252	123.279	25.039	308.842	45.052	61.863
73.000	112.285	25.622	84.498	65.326	194.201	156.795	12.374	64.239
74.000	317.897	53.371	67.212	51.416	151.760	29.731	7.380	143.900
75.000	302.263	99.096	53.231	53.866	236.643	107.330	17.786	83.173
76.000	251.110	182.416	136.022	41.435	79.603	102.292	141.134	214.474
77.000	46.620	156.553	165.492	37.614	36.966	101.415	280.683	462.118
78.000	187.403	142.514	95.573	25.039	38.268	80.727	131.115	424.733
79.000	159.830	221.168	58.200	8.243	123.172	247.756	56.446	437.154
80.000	194.335	97.946	23.284	17.543	111.774	354.513	117.143	313.097
81.000	133.334	30.740	44.664	61.257	75.692	254.485	129.024	188.594
82.000	82.733	31.765	47.281	76.956	48.752	95.008	205.386	209.276
83.000	67.528	54.934	22.134	127.494	440.996	24.082	65.638	210.115
84.000	87.180	33.809	48.483	91.559	197.713	68.883	66.738	277.780
85.000	155.950	68.085	189.390	51.485	122.317	116.101	106.333	256.645
86.000	152.475	108.634	236.050	111.978	325.165	123.494	225.930	108.734
87.000	108.533	144.595	110.553	158.248	443.025	81.858	144.131	169.614
88.000	68.404	127.821	83.790	192.055	929.429	51.693	15.848	204.695
89.000	284.740	82.821	168.235	210.815	249.125	22.959	19.879	154.028
90.000	126.515	117.352	192.724	124.892	101.415	5.590	84.055	276.816
91.000	223.326	201.257	92.114	28.122	145.060	24.177	116.309	175.701
92.000	365.314	243.220	90.546	44.085	322.213	8.749	103.564	117.770
93.000	248.821	168.360	122.530	138.737	132.333	15.733	99.866	173.787
94.000	281.978	376.278	163.265	198.664	58.864	42.184	66.974	73.359
95.000	123.708	183.853	270.114	176.854	127.712	61.333	14.166	123.279
96.000	74.854	57.393	245.030	254.793	190.587	85.031	47.547	644.702
97.000	37.260	193.663	106.831	287.842	158.734	107.730	82.821	515.000
98.000	96.235	309.351	57.979	180.855	153.549	144.827	210.115	140.447
99.000	335.513	176.341	111.367	133.223	406.827	97.755	246.240	194.470
100.000	56.664	163.512	272.339	57.174	401.395	89.813	93.136	32.201
101.000	574.441	125.756	242.318	7.018	199.754	43.766	35.112	232.946
102.000	170.369	130.673	151.998	13.626	59.831	53.725	5.035	215.040
103.000	249.430	159.953	135.236	65.014	136.022	98.042	10.421	80.727
104.000	117.143	224.481	125.000	75.189	267.582	12.923	57.320	103.368
105.000	589.340	228.840	175.318	76.956	105.935	40.202	188.991	100.736
106.000	346.024	300.588	172.771	102.292	236.791	64.781	264.277	129.573
107.000	77.720	169.740	156.191	45.963	233.978	75.524	185.689	157.279
108.000	59.980	123.279	189.257	70.900	325.165	87.361	177.111	242.619
109.000	105.836	125.324	104.056	288.006	119.452	52.249	306.135	334.277
110.000	182.025	135.573	64.239	265.376	24.654	48.349	317.209	158.734
111.000	164.006	237.237	155.830	149.156	38.148	65.248	321.347	163.882
112.000	355.422	266.478	279.553	130.453	136.924	33.697	183.199	198.937
113.000	277.620	244.275	125.000	50.795	54.862	47.813	78.745	156.553
114.000	205.801	219.735	42.184	50.383	64.393	59.607	223.326	227.965
115.000	153.549	171.758	110.655	150.929	141.938	177.239	385.886	409.361
116.000	207.744	85.923	177.625	258.970	38.507	194.201	276.816	257.884
117.000	201.120	26.708	142.859	210.255	240.968	226.946	192.055	186.743
118.000	33.417	6.418	84.587	86.820	178.140	102.487	69.204	156.795
119.000	324.295	19.494	113.413	19.579	133.446	72.535	45.963	184.114
120.000	166.238	48.416	272.657	28.225	162.649	167.360	122.210	179.560
121.000	101.707	90.914	155.589	21.414	223.326	223.470	133.000	251.416
122.000	383.237	134.899	202.904	41.746	235.013	16.195	46.884	230.595
123.000	263.180	119.452	270.272	109.137	267.266	128.805	154.747	180.077
124.000	87.541	93.322	266.163	217.452	317.897	57.028	118.190	131.890
125.000	94.726	82.382	307.826	208.300	339.413	87.090	48.955	75.440
126.000	86.102	24.606	396.768	79.259	263.963	21.998	107.030	50.383
127.000	12.716	31.331	195.144	156.312	282.465	36.907	224.771	89.174
128.000	198.528	81.161	180.725	237.535	251.722	14.421	81.858	18.860
129.000	178.398	150.929	142.398	232.946	204.695	24.035	80.467	131.557
130.000	53.019	59.012	68.244	179.430	128.039	112.285	81.509	471.291
131.000	515.657	10.390	59.681	110.553	476.333	112.899	84.321	199.754
132.000	235.161	45.767	47.148	139.420	341.015	40.816	58.716	86.013
133.000	51.554	45.506	59.532	112.694	302.935	17.221	92.300	46.554
