Pixels	Line 8	Line 7	Line 6	Line 5	Line 4	Line 3	Line 2	Line 1
0.000	131.005	252.641	131.005	212.781	100.639	191.387	29.416	49.090
1.000	156.674	320.483	88.810	213.909	225.350	94.632	15.126	130.343
2.000	324.643	86.371	370.497	173.533	416.815	145.176	144.479	75.860
3.000	353.423	38.988	160.441	108.031	483.945	62.854	117.247	46.488
4.000	181.375	21.102	128.148	296.419	273.614	293.767	386.835	89.813
5.000	172.137	33.361	175.190	230.889	117.352	94.820	370.497	53.654
6.000	117.247	23.237	205.801	253.102	113.105	32.917	177.111	13.027
7.000	210.675	17.141	408.191	66.423	45.898	138.056	242.619	37.614
8.000	286.697	12.579	97.374	89.174	29.626	281.169	126.515	130.232
9.000	284.252	181.765	192.858	204.833	36.907	171.631	356.332	67.608
10.000	106.432	152.952	484.158	155.830	162.895	155.950	47.082	110.553
11.000	49.157	15.314	246.088	178.398	342.264	71.634	46.029	171.758
12.000	132.556	46.554	65.952	197.985	264.434	132.667	34.542	38.447
13.000	170.495	104.352	51.693	229.278	129.682	300.588	23.005	7.328
14.000	159.587	62.396	80.900	292.610	179.560	52.389	22.271	23.705
15.000	253.409	133.112	149.156	415.240	172.518	51.832	21.548	25.232
16.000	238.130	155.830	117.247	165.989	110.553	55.795	191.521	26.409
17.000	319.965	130.784	45.637	103.270	357.061	83.613	191.254	23.611
18.000	201.257	172.771	64.781	138.169	263.336	25.965	114.856	27.969
19.000	105.736	73.773	66.580	92.300	90.088	237.535	141.364	31.656
20.000	15.963	74.354	247.908	257.109	101.707	54.862	238.875	54.079
21.000	54.934	99.673	128.258	232.652	118.925	35.513	206.910	136.135
22.000	144.711	250.804	336.221	197.849	82.207	44.535	235.013	289.482
23.000	130.012	196.224	298.083	218.164	20.574	9.777	295.589	216.031
24.000	158.734	224.626	69.848	105.340	126.623	229.132	319.965	77.635
25.000	89.813	111.367	172.771	69.445	245.030	372.916	346.024	58.200
26.000	108.835	78.146	187.007	43.511	153.071	270.748	752.520	135.348
27.000	158.006	166.113	121.571	81.858	155.709	365.868	222.318	117.875
28.000	262.554	119.241	196.629	49.157	106.432	182.938	66.423	78.317
29.000	108.433	154.867	225.060	70.738	117.352	45.767	275.213	71.879
30.000	116.517	74.354	314.465	165.244	260.058	212.359	45.441	67.291
31.000	320.483	167.734	93.976	95.385	252.335	216.173	31.982	45.441
32.000	426.326	102.585	86.551	399.849	180.985	237.683	33.083	17.061
33.000	422.747	122.637	126.406	250.804	85.031	159.587	138.396	48.483
34.000	274.413	69.445	174.042	230.595	146.341	216.741	228.694	189.390
35.000	128.914	111.265	302.096	90.271	245.332	377.402	320.310	304.785
36.000	181.375	107.330	264.434	115.063	140.905	82.558	237.089	214.615
37.000	203.454	19.112	212.922	162.403	254.485	132.889	331.460	425.529
38.000	182.155	29.889	169.740	99.192	343.157	131.668	160.930	521.811
39.000	176.085	16.390	188.461	185.426	277.298	33.585	226.220	260.681
40.000	59.756	43.511	153.429	156.916	351.068	53.795	289.154	414.454
41.000	59.384	34.429	175.318	123.708	337.283	164.129	265.691	345.306
42.000	250.498	111.876	137.376	101.221	140.333	282.789	181.895	76.956
43.000	254.178	133.892	171.126	103.172	95.573	164.377	123.923	20.530
44.000	127.930	153.788	213.204	26.360	197.442	171.631	91.837	62.701
45.000	305.628	66.344	216.173	12.306	239.771	111.876	203.041	136.699
46.000	224.048	22.545	64.471	13.167	178.269	75.440	58.790	101.415
47.000	54.150	19.665	64.316	42.372	267.108	41.871	36.091	84.498
48.000	27.310	51.693	87.180	109.642	421.161	20.225	26.908	91.467
49.000	38.387	96.614	65.717	147.628	242.619	81.945	4.345	123.387
50.000	12.993	223.326	71.797	163.635	99.481	145.525	36.966	276.014
51.000	12.958	239.323	98.616	84.942	137.603	263.493	110.756	228.840
52.000	41.249	231.622	137.716	235.309	105.241	128.258	130.784	64.626
53.000	109.541	271.861	251.875	249.735	155.589	73.194	154.387	36.323
54.000	104.845	310.201	249.583	166.985	368.086	9.507	154.987	65.717
55.000	141.134	87.541	90.179	91.006	288.662	97.184	366.791	119.452
56.000	111.163	51.139	22.775	70.414	180.725	390.449	386.835	68.085
57.000	106.333	154.627	21.503	76.196	189.124	403.718	221.168	51.070
58.000	143.437	220.308	45.832	143.206	307.656	314.122	184.639	63.621
59.000	33.473	133.557	40.447	153.071	312.414	234.274	122.851	87.993
60.000	15.963	71.797	79.002	69.848	266.951	219.592	231.035	202.217
61.000	30.526	35.513	102.096	21.908	216.741	48.081	91.837	159.343
62.000	25.087	15.352	108.131	36.439	208.440	116.101	29.416	129.024
63.000	46.752	24.367	63.930	97.946	71.961	111.468	203.867	306.980
64.000	149.746	29.521	83.525	227.965	83.525	136.135	121.039	431.322
65.000	93.322	73.029	84.587	283.601	102.096	227.674	106.831	479.497
66.000	95.762	108.332	99.577	279.069	81.596	226.946	333.395	268.056
67.000	187.007	137.490	113.310	85.031	142.514	251.416	177.625	171.379
68.000	101.609	126.298	110.756	37.260	194.470	200.027	128.586	206.494
69.000	98.712	61.863	206.910	17.705	53.654	161.298	109.238	208.858
70.000	76.956	92.950	167.859	12.958	13.132	113.927	134.451	238.279
71.000	23.471	79.345	148.685	56.156	10.830	125.108	74.854	382.481
72.000	206.494	75.524	147.042	42.561	42.624	314.978	363.472	290.468
73.000	325.513	77.041	35.571	75.273	128.476	422.945	171.379	261.304
74.000	155.348	51.208	13.662	83.878	220.165	214.898	231.622	310.711
75.000	97.565	31.928	67.053	129.243	115.893	178.527	428.920	322.559
76.000	164.996	54.505	119.558	235.309	41.871	230.156	534.899	370.869
77.000	275.854	249.125	64.239	230.595	138.510	339.591	198.121	207.604
78.000	203.316	176.341	190.587	206.355	200.437	286.697	60.429	151.760
79.000	174.297	122.958	396.960	97.660	112.285	71.470	508.450	194.605
80.000	209.975	164.872	221.599	109.844	110.148	87.271	389.116	272.817
81.000	268.688	209.416	199.618	161.543	119.136	308.503	238.279	286.534
82.000	174.552	154.867	165.120	187.535	212.781	351.430	267.898	231.622
83.000	144.711	76.872	227.092	123.387	302.263	406.049	262.241	141.823
84.000	160.686	113.310	188.594	100.542	427.323	209.556	258.504	190.054
85.000	138.965	70.819	324.295	326.733	363.472	211.797	323.600	255.410
86.000	203.592	128.039	393.315	255.873	308.842	276.816	155.108	123.923
87.000	260.058	132.111	178.269	96.235	321.001	161.666	67.053	78.830
88.000	320.656	24.750	64.084	34.770	333.219	208.858	105.538	188.064
89.000	247.756	21.998	160.930	67.291	386.645	158.613	178.398	216.173
90.000	149.156	64.084	323.774	76.956	494.619	68.244	254.331	127.167
91.000	180.466	132.556	384.560	130.894	143.552	20.618	191.788	53.301
92.000	183.460	182.677	176.983	208.300	45.637	82.909	182.546	15.618
93.000	236.791	182.155	164.253	154.267	284.089	187.271	182.677	62.472
94.000	289.811	59.012	278.746	196.765	304.954	226.075	55.220	155.830
95.000	248.973	5.078	164.996	424.534	161.789	163.882	29.942	262.241
96.000	194.067	10.081	147.863	264.277	117.770	307.995	117.456	165.989
97.000	114.340	50.314	205.386	174.042	144.595	338.170	220.594	45.117
98.000	48.955	35.055	188.991	132.556	286.697	351.430	186.743	67.687
99.000	34.203	50.041	126.515	156.433	422.548	322.213	167.984	142.859
100.000	54.934	71.634	56.446	141.823	367.716	294.098	193.663	183.853
101.000	66.580	84.409	35.686	94.070	236.198	276.656	238.428	90.088
102.000	104.056	109.339	31.169	54.008	214.333	114.340	267.108	90.730
103.000	112.899	25.184	134.675	112.797	69.526	197.578	119.452	157.279
104.000	60.055	12.442	110.553	244.426	121.571	384.371	38.387	297.917
105.000	51.693	24.463	204.419	189.788	217.879	505.408	27.664	188.859
106.000	52.249	12.923	170.495	150.692	436.751	391.022	43.320	125.973
107.000	25.916	13.413	187.139	174.552	220.881	362.920	102.096	86.641
108.000	27.008	20.705	183.460	270.748	110.046	358.156	125.000	64.704
109.000	55.795	72.124	116.101	137.829	71.961	307.995	146.108	78.402
110.000	135.236	134.116	93.136	71.226	17.181	426.326	482.460	142.398
111.000	134.563	249.735	97.565	46.422	78.061	343.515	347.461	197.849
112.000	166.487	254.024	90.271	77.890	159.343	66.265	69.044	176.598
113.000	386.835	185.952	111.672	95.102	203.179	215.748	40.447	85.655
114.000	193.663	197.442	219.306	91.006	359.619	356.332	26.162	109.036
115.000	104.253	275.373	179.948	102.096	403.718	203.041	178.269	84.942
116.000	143.900	263.493	135.573	119.241	351.249	325.165	145.176	128.695
117.000	201.942	163.759	182.155	63.930	597.804	491.618	138.056	143.321
118.000	323.427	157.521	298.750	31.710	677.453	480.131	126.841	102.585
119.000	112.285	178.527	455.503	45.898	869.240	320.829	115.581	174.297
120.000	124.138	107.630	227.674	182.025	626.938	289.482	94.726	189.921
121.000	180.985	219.592	110.960	186.479	233.388	141.134	174.807	92.671
122.000	152.952	294.098	154.148	48.685	155.348	72.371	287.515	99.096
123.000	168.610	124.138	148.567	16.156	195.278	70.982	265.691	147.393
124.000	56.446	86.461	63.621	62.091	162.649	122.424	133.446	136.135
125.000	18.734	113.413	44.535	77.380	205.524	73.111	54.363	43.383
126.000	63.084	105.935	117.666	97.089	192.590	111.265	17.141	76.956
127.000	241.268	90.271	263.806	74.854	139.990	221.886	65.170	116.934
128.000	248.212	120.721	307.318	15.656	306.980	208.579	149.746	16.823
129.000	316.007	100.542	230.302	3.876	366.237	166.736	256.182	23.005
130.000	191.921	108.131	256.182	69.687	221.025	113.310	306.304	70.738
131.000	92.300	76.618	583.031	223.470	115.270	147.393	249.125	102.976
132.000	118.085	75.692	572.592	119.558	271.066	42.372	165.616	59.831
133.000	166.113	112.797	188.329	311.051	188.594	7.752	165.741	144.943
134.000	86.102	171.252	145.991	357.791	213.345	70.090	171.505	180.466
135.000	31.547	228.257	222.318	183.068	281.654	111.978	268.056	65.952
136.000	51.623	276.656	202.766	193.529	108.734	75.860	259.902	124.784
137.000	99.384	323.427	157.037	188.064	263.023	39.471	340.481	342.264
138.000	120.297	321.347	154.267	118.400	360.718	96.329	173.152	532.447
139.000	70.495	178.785	137.943	118.505	524.681	221.599	71.063	738.292
140.000	31.656	186.216	201.805	133.669	236.940	174.042	85.120	557.224
141.000	47.547	190.187	269.638	42.121	235.161	230.302	179.948	164.624
142.000	129.573	243.521	310.371	56.955	298.750	216.883	86.192	92.764
143.000	73.194	291.950	247.301	71.307	352.879	143.784	11.573	180.207
144.000	46.422	318.241	142.398	43.256	225.060	152.236	25.916	219.735
145.000	211.095	82.558	231.329	69.928	137.150	284.252	109.339	456.946
146.000	302.431	98.233	134.563	103.564	69.928	336.398	68.404	234.126
147.000	212.359	41.934	111.978	205.662	76.449	365.868	24.846	52.669
148.000	123.065	12.138	362.369	190.187	168.987	229.278	59.384	119.452
149.000	126.406	44.858	245.483	174.552	114.960	355.422	41.311	92.950
150.000	124.892	28.122	100.930	241.568	58.568	402.943	36.966	250.040
151.000	117.666	67.212	111.672	264.748	28.020	284.577	126.406	490.977
152.000	74.354	106.631	63.007	210.115	17.181	199.618	128.805	305.460
153.000	62.854	172.011	69.445	113.207	59.532	168.610	226.801	68.883
154.000	144.827	118.505	131.779	113.413	124.246	113.413	231.329	73.194
155.000	179.430	27.918	170.621	64.781	252.181	64.393	83.702	220.738
156.000	191.521	158.491	129.573	10.957	80.553	99.000	196.359	204.005
157.000	196.900	361.451	74.354	15.580	11.150	173.787	337.460	208.858
158.000	109.339	204.143	77.720	65.873	8.922	253.102	237.237	116.413
159.000	137.037	52.319	82.295	288.006	45.376	108.131	105.637	52.389
160.000	72.453	39.775	43.829	467.945	120.509	116.830	109.036	52.319
161.000	29.521	28.071	61.182	177.497	244.124	212.640	106.532	26.063
162.000	105.538	15.428	115.997	65.170	197.849	138.737	117.247	135.460
163.000	147.980	50.246	92.022	84.853	94.163	90.638	141.134	217.737
164.000	82.207	222.894	39.897	59.309	119.769	246.543	149.038	151.998
165.000	83.085	260.681	54.363	125.756	188.196	359.253	242.919	151.760
166.000	83.967	111.774	101.027	144.711	198.257	479.709	126.081	297.417
167.000	42.876	156.795	227.674	60.880	312.414	360.718	145.060	345.844
168.000	25.965	114.960	223.759	69.526	138.283	287.024	183.591	90.546
169.000	52.180	35.341	103.663	133.223	194.335	247.908	82.821	116.621
170.000	193.529	50.520	112.694	216.883	247.756	217.737	46.554	199.345
171.000	214.191	128.695	168.736	78.916	200.164	286.534	29.784	268.372
172.000	93.602	187.667	171.252	33.977	123.279	170.118	33.194	168.360
173.000	34.259	107.630	135.011	76.365	16.351	85.745	121.571	192.992
174.000	56.519	90.179	182.938	35.398	40.447	62.701	51.208	138.851
175.000	131.336	206.910	299.251	85.745	27.969	21.102	28.533	208.997
176.000	61.939	288.006	354.149	206.494	65.952	14.348	108.131	199.209
177.000	99.481	286.697	350.526	125.108	136.248	144.363	109.339	119.347
178.000	193.395	178.527	347.102	56.882	93.882	251.416	231.916	81.858
179.000	111.570	73.524	216.741	200.847	107.730	133.781	133.112	215.606
180.000	99.866	67.528	66.265	335.160	148.803	138.851	75.356	318.930
181.000	75.189	74.105	35.628	148.215	27.209	171.884	155.348	295.092
182.000	104.253	169.992	80.900	92.578	10.830	138.056	138.510	60.205
183.000	239.621	317.209	65.952	67.053	29.469	144.827	68.563	50.589
184.000	144.363	407.606	118.295	32.917	77.041	144.479	172.518	122.103
185.000	50.795	294.263	190.454	20.661	178.269	231.475	227.674	224.915
186.000	96.994	112.899	126.515	40.631	357.973	208.997	56.809	232.946
187.000	92.392	108.232	124.246	184.376	473.388	139.078	36.790	160.686
188.000	413.276	59.087	86.282	121.358	295.755	158.978	75.273	112.081
189.000	471.920	31.765	159.953	69.928	330.406	238.577	31.765	152.475
190.000	238.428	17.381	143.784	74.521	341.194	142.053	66.817	267.266
191.000	94.444	13.877	113.413	77.465	329.880	91.467	91.282	327.605
192.000	141.479	10.421	125.432	57.247	264.120	174.042	47.281	260.369
193.000	193.798	4.590	92.764	55.651	514.562	208.440	69.848	217.310
194.000	242.468	15.428	95.479	99.769	308.673	88.174	139.762	132.222
195.000	213.063	37.614	332.163	115.893	182.416	168.736	323.774	81.858
196.000	163.759	81.248	244.275	159.343	197.713	569.364	275.693	89.905
197.000	183.199	210.255	132.889	192.724	275.053	232.210	100.930	73.194
198.000	170.874	123.065	121.997	267.108	277.941	100.542	30.579	29.995
199.000	245.483	16.390	86.730	202.491	224.337	115.270	6.152	48.148
200.000	214.191	33.753	113.105	151.998	353.605	49.022	64.626	72.782
201.000	131.447	84.942	199.754	222.174	694.132	70.657	130.012	26.658
202.000	70.819	81.509	71.144	129.243	129.133	200.164	94.820	30.154
203.000	34.713	24.894	122.210	209.556	183.983	64.626	85.031	115.685
204.000	61.409	10.672	225.785	187.535	145.408	23.237	176.085	75.356
205.000	166.736	23.144	266.635	136.248	173.279	112.387	128.695	88.447
206.000	226.365	27.108	171.379	188.461	199.618	245.483	14.790	65.170
207.000	211.657	14.865	55.507	175.957	60.956	250.193	17.462	110.655
208.000	126.298	5.728	276.977	184.507	189.788	138.396	44.021	64.704
209.000	83.878	42.687	302.599	236.198	89.539	114.133	62.167	99.481
210.000	166.861	134.787	292.280	179.301	49.700	120.403	95.951	226.220
211.000	218.735	45.181	224.048	71.879	77.211	49.564	144.363	112.490
212.000	222.894	16.118	141.823	56.882	37.851	86.820	111.672	440.996
213.000	244.124	145.758	273.934	138.623	10.235	203.867	37.970	339.058
214.000	192.590	175.445	271.861	152.355	39.229	119.030	21.102	163.759
215.000	173.406	65.795	164.748	114.960	103.761	62.625	74.438	21.325
216.000	78.402	186.216	158.856	163.635	292.280	105.736	283.276	21.147
217.000	95.008	198.801	171.631	103.859	247.756	120.615	289.154	40.019
218.000	208.579	42.184	294.760	125.648	125.973	90.730	191.788	84.676
219.000	184.245	47.613	380.596	162.157	63.007	80.207	171.252	151.879
220.000	95.102	131.005	286.697	40.202	59.980	96.994	76.028	267.740
221.000	31.765	330.056	248.669	52.319	90.638	92.764	121.146	225.785
222.000	93.789	476.754	425.330	67.687	263.180	131.115	139.078	211.797
223.000	91.006	399.657	380.408	34.542	275.053	260.681	259.591	240.219
224.000	13.202	295.092	178.269	68.244	245.634	283.926	464.818	525.345
225.000	81.945	260.525	89.905	143.668	114.753	249.278	408.776	497.198
226.000	174.807	387.214	144.943	169.112	144.711	324.121	373.475	357.061
227.000	111.468	426.924	149.274	104.845	217.595	272.657	401.975	184.376
228.000	171.631	201.394	111.672	128.914	255.256	47.547	364.946	240.219
229.000	138.965	154.747	157.037	157.763	270.272	80.553	398.500	173.025
230.000	148.332	193.127	320.829	169.992	215.181	173.533	395.423	165.244
231.000	160.686	226.075	587.467	85.745	150.219	179.430	384.750	149.746
232.000	114.236	136.473	329.179	257.419	161.666	173.406	214.333	187.931
233.000	123.387	38.687	176.854	405.271	343.336	232.504	71.470	255.718
234.000	84.232	46.686	179.301	189.522	272.657	233.536	30.740	226.655
235.000	88.901	56.446	156.795	151.167	134.899	142.744	53.725	163.018
236.000	101.512	97.469	48.887	388.925	84.676	147.628	89.448	97.565
237.000	51.971	146.108	13.308	570.746	97.851	124.246	124.569	118.820
238.000	115.167	70.333	35.456	425.529	117.143	175.701	131.336	188.859
239.000	192.457	41.871	95.479	224.481	106.333	255.256	159.587	68.643
240.000	256.491	59.607	175.829	125.756	364.761	173.915	145.292	16.665
241.000	76.028	57.685	86.730	225.205	634.694	231.329	84.232	23.705
242.000	207.049	64.781	11.737	116.101	244.426	358.704	109.945	58.938
243.000	208.718	101.124	13.272	35.744	536.686	188.196	151.523	67.053
244.000	226.655	127.930	30.954	60.880	382.859	173.406	113.207	197.307
245.000	201.668	171.884	159.953	142.629	223.038	301.593	29.626	231.475
246.000	59.756	190.587	318.930	31.982	309.521	352.879	122.103	180.336
